,image,caption,len,predicted_caption,1-gram BLEU score,2-gram BLEU score,3-gram BLEU score,4-gram BLEU score
40,2198484810_50a893824a.jpg,A dog runs through an obstacle course .,8,A brown dog running a course with a blue leash in his mouth .,0.21428571428571425,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
41,3693961165_9d6c333d5b.jpg,A brown dog runs along a fence .,8,A large grey dog is running through a fence .,0.3,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
42,3239480519_22540b5016.jpg,A dog is running towards the photographer .,8,A black and white dog running with something in his mouth .,0.16666666666666669,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
43,531055369_936fd76a63.jpg,People standing on a sidewalk near shops .,8,A woman at a marathon table in a busy street .,0.18181818181818182,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
44,2994107810_af56326389.jpg,Two men from opposite teams playing basketball .,8,The basketball player is holding a basketball getting ready to take a shot .,0.21428571428571425,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
45,3126752627_dc2d6674da.jpg,A basketball player tries to block another .,8,A basketball player holds a ball as another player looks on .,0.25,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
46,2554570943_122da6438f.jpg,a girl climbs up a red slide .,8,The girl in the red shirt is sliding down a blue slide .,0.15384615384615385,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
47,950273886_88c324e663.jpg,A man grasps onto the rock face .,8,A man is rock climbing with spotters below .,0.2222222222222222,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
48,3631136463_53ff624b82.jpg,Two dogs retreiving a large stick of wood,8,Two dogs share a toy in a field of vegetation .,0.0909090909090909,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
49,2446601467_a35841cb1d.jpg,A baby peeking out from inside her cot,8,A baby is peeking his head over blue playpen .,0.10000000000000002,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
50,3214579977_fa9fb006a6.jpg,A black dog jumps in the snow .,8,A black dog is playing with a red toy in the snow .,0.23076923076923078,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
51,382701159_f98c1988cd.jpg,A man fly fishes in the ocean .,8,A person holding a surfboard from a surfboard .,0.3333333333333333,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
52,278105206_df987b0ca0.jpg,The dog is running through the snow .,8,A black and tan dog is running through the snow .,0.0909090909090909,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
53,2070798293_6b9405e04d.jpg,A little girl jumping on a couch .,8,A little girl in pajamas jumps and jumping down a couch .,0.25,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
54,3656104088_a0d1642fa9.jpg,Birds flocking by the water 's edge .,8,Two geese in dark blue water one goose has wings outstreached the other is starting a dive .,0.11111111111111109,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
55,95783195_e1ba3f57ca.jpg,a woman crossing a wooden link wire bridge,8,A woman is walking along a long - snowy path with a safety next to him .,0.0588235294117647,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
56,3693297007_94512e861e.jpg,Group of people standing and sitting outdoors .,8,A group of people sit at a table in front of a large wall .,0.13333333333333333,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
57,3344632789_af90d54746.jpg,A skateboarder performs while others watch nearby .,8,A man is skateboarding down a ramp on a skateboard .,0.3320366241026409,2.031716533983919e-308,2.031716533983919e-308,2.031716533983919e-308
58,3604384157_99241be16e.jpg,People in colorful hats and shirt dance outside,8,Two men are standing in front of a white brick building .,0.08333333333333333,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
59,1087539207_9f77ab3aaf.jpg,Children ride a tractor in a field .,8,A girl is jumping on a platform in the air while another girl watches .,0.13333333333333333,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
60,446138054_d40c66d5f0.jpg,A man in an orange hat jumping .,8,A man in a green shirt jumping on a lawn .,0.2727272727272727,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
61,3271084924_4778d556cc.jpg,Two dogs are running in the field .,8,The white dog and two black dogs with another brown dog are running .,0.07142857142857141,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
62,3261493263_381a4c5cc7.jpg,A dog sled races through the snow .,8,A musher waves and smiles behind his dogs who are running in snow .,0.14285714285714285,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
63,3054989420_3e755ca352.jpg,A child walks outside as leaves fall .,8,A group of children are playing in a puddle of rain on their bare grass .,0.1875,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
64,1107471216_4336c9b328.jpg,There is a kid with a gun .,8,A young girl steadies her aim with a camera,0.11111111111111109,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
65,3621177753_1718c30ea0.jpg,These skateboarders are attempting stunts at night .,8,A man performs a skateboard trick in a parking lot .,0.2727272727272727,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
66,512634877_d7ad8c8329.jpg,A pitbull dog chasing a red ball .,8,A brown dog wearing a red harness is running in the grass .,0.23076923076923078,2.2250738585072626e-308,2.2250738585072626e-308,2.2250738585072626e-308
